car_id,min_price,max_price,structure,emission,gearbox,fc,baidu_index
313,10.58,12.78,三厢,1.6L,手动 手自一体,6-7L,113435
314,14.28,22.18,SUV,1.8T,手动 手自一体,10-13L,11000
315,19.98,31.58,SUV,1.4T 1.8T 2.0T,手动 双离合 手自一体,7-10L,2200
316,5.38,7.48,SUV,1.3L 1.5L,手动 无级,7-8L,1902
317,6.38,10.68,两厢 三厢,1.6L 2.0L,手动 自动,7-9L,4198
318,17.89,27.99,三厢,1.6T 2.0L 2.0T,手自一体,8-10L,12900
319,10.99,15.99,三厢,1.2T 1.4T 1.6L,手动 双离合 手自一体,5-9L,75200
320,3.28,3.78,客车,1.0L,手动,8-9L,422
321,8.69,16.48,两厢 三厢,1.5L 1.6L 1.8L,手动 自动 手自一体,7-9L,50300
322,30.98,36.98,MPV,E,固定齿比,0-0L,4087
323,24.98,44.98,SUV,2.0T 2.7T,手自一体,8-11L,11100
324,19.48,24.98,三厢,E,固定齿比,0-0L,null
325,12.28,17.18,SUV,1.5T 2.0T,手动 自动 双离合,6-8L,null
326,17.99,23.69,三厢,1.6T 1.8T 2.0L 2.3L,手自一体,6-10L,93300
327,6.99,13.19,SUV,1.8L 2.0L 2.4L,手动 手自一体,8-10L,25900
328,7.18,10.68,两厢,1.4L 1.6L,手动 手自一体,6-7L,4400
329,3.68,4.98,客车,1.3L,手动,6-8L,482
330,4.08,6.5,SUV,1.5L,AMT,6-7L,null
331,9.68,16.48,三厢,1.6L 2.0L,手动 手自一体,8-9L,null
332,7.78,10.88,SUV,1.3T 1.8L,手动 双离合,6-7L,51430
333,6.58,9.58,SUV,1.5L 1.6L,手动 无级,6-7L,19500
334,8.18,20.18,三厢,1.8L 2.0L 2.4L,手动 无级 手自一体,9-9L,4883
335,5.98,7.48,三厢,1.5L,手动 手自一体,6-8L,51100
336,9.98,16.58,两厢 三厢,1.0T 1.5T 1.6L 1.8L,手动 双离合 手自一体,5-9L,null
337,19.48,24.58,MPV,2.3L,手自一体,11-11L,254
338,20.98,30.98,三厢,1.5T,双离合 固定齿比,1-2L,1700
339,22.98,26.98,两厢,1.8L,无级,4-5L,1900
340,6.97,8.77,SUV,1.4T 1.5L,手动 自动,6-7L,3403
341,9.97,14.17,SUV,1.4T 2.0L 2.3L,手动 手自一体,8-10L,31134
342,20.8,22.8,两厢,2.4L 2.5T,手动 自动,9-11L,286
343,20.88,30.88,SUV,2.4L 3.0L,手动 手自一体,11-11L,3495
344,4.59,6.98,三厢,1.5L 1.6L,手动 无级,8-8L,14294
345,5.98,8.28,SUV,1.5L,手动 无级,6-6L,1388
346,4.03,5.78,客车,1.2L 1.5L,手动,7-7L,9100
347,20.98,31.48,三厢,2.5L 3.0L,手自一体,9-10L,12000
348,3.78,4.58,客车,1.2L 1.5L,手动,7-7L,6553
349,7.54,9.09,SUV,1.8L,手动 无级,8-8L,9556
350,4.99,6.39,两厢,1.3L 1.5L,手动 AMT,6-7L,1400
351,15.68,23.18,SUV,1.6T 2.0L,手动 自动 双离合,7-7L,4100
352,3.38,5.58,三厢,1.0L 1.3L 1.5L 1.6L,手动 自动,7-8L,27700
353,7.98,11.68,SUV,1.5T,手动 无级,10-11L,18848
354,5.38,5.88,SUV,1.5L,手动,7-7L,33403
355,8.58,13.78,MPV,1.8L 1.9T 2.0L 2.0T,手动 手自一体,8-9L,7255
356,6.58,9.98,两厢,1.5L 1.6L,手动 自动 手自一体,6-8L,1741
357,11.98,22.98,三厢,1.8T 2.4L 3.5L,手自一体,8-10L,18000
358,8.98,11.48,三厢,1.6L,手动 自动,7-8L,19700
359,5.59,9.89,MPV,1.5L 1.6L 2.0L,手动,7-10L,38223
360,15.58,23.08,MPV,1.4T 1.8T,手动 双离合,6-10L,30400
361,15.89,16.99,两厢,E,固定齿比,0-0L,1766
362,6.58,8.88,SUV,1.5L,手动 自动,7-7L,7524
