,y_true,y_lasso,y_enet,,,
213,0.456557721,0.009462644,0.007190418,,0.199894008,0.201930973
214,0.360125946,0.009462644,0.007190418,,0.122964752,0.124563487
215,0.445693573,0.009462644,0.007190418,,0.190297424,0.192285017
216,0.026377317,0.009462644,0.007190418,,0.000286106,0.000368137
217,0.591362864,0.009462644,0.007190418,,0.338607867,0.341257447
218,0.733194819,0.009462644,0.007190418,,0.523788262,0.52708239
219,0.749640548,0.009462644,0.007190418,,0.54786333,0.551232195
220,0.501210367,0.009462644,0.007190418,,0.241815824,0.24405571
221,0.586478981,0.009462644,0.007190418,,0.332947854,0.335575239
222,-0.333051566,0.014794735,0.017131602,,0.120997049,0.122628251
223,-0.338173591,0.014794735,0.017131602,,0.124586639,0.12624178
224,-0.341086115,0.014794735,0.017131602,,0.126651179,0.128319933
225,-0.31648031,0.014794735,0.017131602,,0.109743155,0.111296908
226,-0.190438329,0.014794735,0.017131602,,0.042120611,0.043085276
227,-0.134899512,0.014794735,0.017131602,,0.022408368,0.02311346
228,-0.276608863,0.014794735,0.017131602,,0.084916057,0.086283461
229,-0.119131711,0.014794735,0.017131602,,0.017936293,0.01856769
230,0.178849609,0.014794735,0.017131602,,0.026914002,0.026152714
231,0.033524712,0.014794735,0.017131602,,0.000350812,0.000268734
232,-0.00172687,0.014794735,0.017131602,,0.000272963,0.000355642
233,-0.119131711,0.014794735,0.017131602,,0.017936293,0.01856769
234,-0.104666624,0.014146202,0.015922473,,0.014116488,0.01454173
235,-0.108333869,0.014146202,0.015922473,,0.015001368,0.015439639
236,-0.017038753,0.014146202,0.015922473,,0.000972501,0.001086442
237,-0.058922559,0.014146202,0.015922473,,0.005339044,0.005601779
238,-0.048499861,0.014146202,0.015922473,,0.003924529,0.004150237
239,0.316487594,0.014146202,0.015922473,,0.091410317,0.090339391
240,0.137371593,0.014146202,0.015922473,,0.015184497,0.014749889
241,0.709461923,0.014146202,0.015922473,,0.483463951,0.480996968
242,0.153198653,0.014146202,0.015922473,,0.019335584,0.01884475
243,0.196819576,0.014146202,0.015922473,,0.033369561,0.032723762
244,-0.043095499,0.014146202,0.015922473,,0.003276612,0.003483121
245,-0.28281756,0.014146202,0.015922473,,0.088187476,0.089245607
246,-0.266217028,0.014250804,0.016117494,,0.078662205,0.079712783
247,-0.221809683,0.014250804,0.016117494,,0.055724554,0.056609342
248,-0.185081803,0.014250804,0.016117494,,0.039733488,0.040481157
