,id,year,month,pSales,predict,error
12255,241,2016,8,-3.0,-2.0,1.0
12262,241,2015,12,-2.0,-1.0,1.0
12263,241,2015,11,-3.0,-1.0,2.0
12264,241,2015,10,-3.0,-1.0,2.0
12265,241,2015,9,-3.0,-1.0,2.0
12266,241,2015,8,-3.0,-1.0,2.0
12379,244,2015,11,-4.0,-1.0,3.0
12380,244,2015,10,-2.0,-1.0,1.0
12381,244,2015,9,-2.0,-1.0,1.0
12382,244,2015,8,-4.0,-1.0,3.0
12414,246,2016,8,-1.0,-2.0,-1.0
12422,246,2015,12,3.0,-1.0,-4.0
12423,246,2015,11,2.0,-1.0,-3.0
12424,246,2015,10,1.0,-1.0,-2.0
12425,246,2015,9,-2.0,-2.0,0.0
12426,246,2015,8,-4.0,-2.0,2.0
12437,247,2016,8,2.0,-1.0,-3.0
12445,247,2015,12,14.0,-1.0,-15.0
12446,247,2015,11,10.0,-1.0,-11.0
12447,247,2015,10,6.0,-1.0,-7.0
12448,247,2015,9,6.0,-1.0,-7.0
12449,247,2015,8,0.0,-1.0,-1.0
12472,248,2016,8,2.0,-2.0,-4.0
12480,248,2015,12,6.0,-1.0,-7.0
12481,248,2015,11,5.0,-1.0,-6.0
12482,248,2015,10,4.0,-1.0,-5.0
12483,248,2015,9,3.0,-1.0,-4.0
12484,248,2015,8,-0.0,-1.0,-1.0
12588,249,2016,8,-2.0,-2.0,0.0
12596,249,2015,12,-2.0,-1.0,1.0
12597,249,2015,11,13.0,-1.0,-14.0
12598,249,2015,10,14.0,-1.0,-15.0
12599,249,2015,9,15.0,-1.0,-16.0
12600,249,2015,8,4.0,-1.0,-5.0
12638,250,2016,8,-5.0,-1.0,4.0
12646,250,2015,12,-4.0,-1.0,3.0
12647,250,2015,11,-4.0,-1.0,3.0
12648,250,2015,10,-3.0,-1.0,2.0
12649,250,2015,9,-4.0,-1.0,3.0
12650,250,2015,8,-4.0,-1.0,3.0
12754,251,2016,8,-3.0,-1.0,2.0
12762,251,2015,12,-3.0,-1.0,2.0
12763,251,2015,11,-3.0,-1.0,2.0
12764,251,2015,10,-2.0,-1.0,1.0
12765,251,2015,9,-3.0,-1.0,2.0
12766,251,2015,8,-3.0,-1.0,2.0
12818,252,2016,8,-4.0,-2.0,2.0
12826,252,2015,12,-2.0,-1.0,1.0
12827,252,2015,11,-3.0,-1.0,2.0
12828,252,2015,10,-2.0,-1.0,1.0
12829,252,2015,9,-2.0,-1.0,1.0
12830,252,2015,8,-3.0,-1.0,2.0
12934,253,2016,8,-3.0,-2.0,1.0
12942,253,2015,12,2.0,-1.0,-3.0
12943,253,2015,11,-1.0,-1.0,0.0
12944,253,2015,10,2.0,-1.0,-3.0
12945,253,2015,9,3.0,-1.0,-4.0
12946,253,2015,8,-0.0,-1.0,-1.0
12952,254,2016,8,3.0,-1.0,-4.0
12960,254,2015,12,4.0,-1.0,-5.0
12961,254,2015,11,4.0,-1.0,-5.0
12962,254,2015,10,4.0,-1.0,-5.0
12963,254,2015,9,4.0,-1.0,-5.0
12964,254,2015,8,4.0,-1.0,-5.0
13065,255,2016,8,-3.0,-2.0,1.0
13073,255,2015,12,3.0,-1.0,-4.0
13074,255,2015,11,-2.0,-1.0,1.0
13075,255,2015,10,0.0,-1.0,-1.0
13076,255,2015,9,-3.0,-1.0,2.0
13077,255,2015,8,-1.0,-1.0,0.0
13083,256,2016,8,-3.0,-2.0,1.0
13091,256,2015,12,-3.0,-1.0,2.0
13092,256,2015,11,-3.0,-1.0,2.0
13093,256,2015,10,-2.0,-1.0,1.0
13094,256,2015,9,-3.0,-1.0,2.0
13095,256,2015,8,-2.0,-1.0,1.0
13136,257,2016,8,-3.0,-2.0,1.0
13144,257,2015,12,-2.0,-1.0,1.0
13145,257,2015,11,-3.0,-1.0,2.0
13146,257,2015,9,-3.0,-1.0,2.0
13211,258,2016,8,-4.0,-1.0,3.0
13224,259,2016,8,-4.0,-2.0,2.0
13231,259,2015,12,-4.0,-1.0,3.0
13232,259,2015,11,-3.0,-1.0,2.0
13233,259,2015,10,-4.0,-1.0,3.0
13234,259,2015,9,-4.0,-1.0,3.0
13235,259,2015,8,-4.0,-1.0,3.0
13310,260,2016,8,3.0,-1.0,-4.0
13318,260,2015,12,-1.0,-1.0,0.0
13319,260,2015,11,1.0,-1.0,-2.0
13320,260,2015,10,1.0,-1.0,-2.0
13321,260,2015,9,-0.0,-1.0,-1.0
13322,260,2015,8,0.0,-1.0,-1.0
13343,261,2016,8,-1.0,-2.0,-1.0
13350,261,2015,12,-2.0,-1.0,1.0
13351,261,2015,11,-2.0,-1.0,1.0
13352,261,2015,10,-0.0,-1.0,-1.0
13353,261,2015,9,-1.0,-1.0,0.0
13354,261,2015,8,-3.0,-1.0,2.0
13424,262,2016,8,1.0,-2.0,-3.0
